,Total-Test,Motor-Test
fuzzy_c_means,"[8.260483685593915, 7.987760640217556, 7.555019556493068, 7.834956545504069, 7.878144664761539]","[6.4047151446481845, 6.133117639244713, 5.909818859676227, 6.124906731186372, 6.029381917969254]"
som,"[8.38249123204467, 8.144498314035028, 8.234269558180076, 7.970137725048455, 8.267629930379329]","[6.1608155394333695, 5.995319611002189, 5.986830474649957, 5.826703599926488, 6.110884348289148]"
em,"[7.0864745782562775, 7.505707088083291, 7.482206977412291, 7.482306464118369, 7.324097901921793]","[5.374680533682811, 5.8079034037280355, 5.688670908291039, 5.711914241310861, 5.554069810700727]"
