,Total-Test,Motor-Test
All,"[4.938730031864041, 4.65156238526222, 4.822605051049257, 4.633014424665986, 4.825737723873477]","[3.7828191057962557, 3.6137644189429214, 3.7569877852826274, 3.5872076418597025, 3.775186876671669]"
Males,"[5.045882303452564, 5.36320025387679, 4.841953690033157, 4.979537144336831, 5.103218576789246]","[3.7654084568413437, 3.980745792818492, 3.7038959879545077, 3.6298523054972627, 3.8075530292177353]"
Females,"[3.553352396971192, 3.507026858074763, 3.275166533719339, 3.3735358387018994, 3.375440400959284]","[3.093578304513888, 2.870817910871231, 2.699439871805071, 2.773082197368714, 2.8485915577667162]"
