,Total-Test,Motor-Test
fuzzy_c_means,"[5.352788745621585, 5.145425037480454, 5.228791762516637, 5.171092968381949, 5.298034685238398]","[4.161165399941198, 3.979083455311912, 4.017295280725565, 4.024446975114674, 4.095850287261018]"
som,"[5.218151211561162, 5.2512161237249035, 4.852502934292215, 5.038492286168842, 5.181036669045476]","[3.965217967101708, 4.138727489376403, 3.7350586890739903, 3.920718631005646, 3.9953423831136132]"
em,"[5.363383095754026, 5.312959339547415, 5.1862435898237775, 5.090057565759896, 5.259204442039664]","[4.169558004007729, 4.102287709912025, 3.991892057865371, 4.024774561957897, 3.980814451606693]"
