,Total-Test,Motor-Test
fuzzy_c_means,"[2.779238662000291, 2.7038579467091663, 3.411150231843989, 2.772955263831605, 3.362652627611526]","[2.228355802170774, 2.187835730364211, 2.8194837154852683, 2.160650207998073, 2.7261540897450547]"
som,"[3.160785277948258, 2.7027102700040198, 2.7107659546624583, 3.128175044316501, 2.7289454972621474]","[2.517928948909822, 2.0901694147757315, 2.1745205608396776, 2.443066146291602, 2.1558231489941395]"
em,"[3.171375441402354, 2.811749322582921, 6.167017057595761, 3.0274332752554876, 2.7782615449160857]","[2.5155249531707495, 2.2381679942755195, 4.885705347167157, 2.4420154850607254, 2.190103091657544]"
