,Total-Test,Motor-Test
All,"[2.5353901407795356, 2.6245669344118805, 2.9437603485367148, 2.631839216248208, 2.655885975056101]","[2.005129202474391, 2.0681062636485, 2.2902915565075164, 2.0899573986673556, 2.1924888410222483]"
Males,"[9.015366230914717, 2.7203031422593646, 2.39297518337088, 9.266519090647709, 8.980774931864369]","[6.672235585752569, 2.0503715333848227, 1.84583908072493, 6.909533552684451, 6.692625483616093]"
Females,"[7.642982673946931, 7.749108743237174, 7.429610738491119, 7.635703933242554, 8.01187319428959]","[7.305225114775469, 7.310006931978113, 7.078597031659621, 7.340903550573339, 7.724885400692537]"
