,Total-Test,Motor-Test
fuzzy_c_means,"[4.084072969486188, 4.16556799621149, 4.090646266549127, 4.195031006166963, 4.015998615390636]","[3.1752264243501758, 3.3580549926939645, 3.286087350292192, 3.326489021904014, 3.1846925602932403]"
som,"[4.288682703136127, 4.399047407465462, 4.17076271237049, 4.259752768259448, 4.146009090436393]","[3.384203145656489, 3.4617321720457865, 3.316574022738329, 3.388768973626974, 3.2402095603234233]"
em,"[4.705593682117384, 4.876286245111714, 4.848740462593711, 4.641093044035545, 4.786830013665429]","[3.636011736801904, 3.9128455804147233, 3.715798567636248, 3.6784403784664437, 3.685609324532302]"
