,Total-Test,Motor-Test
All,"[2.714062080904267, 2.638238962692873, 2.4624635885188058, 2.490091926403227, 2.5761467775798867]","[2.133473995280465, 2.1754363290416805, 2.0578391808627883, 2.0330303588860215, 2.0400458340349856]"
Males,"[2.2722233992156444, 2.2203858900856925, 2.2981321510445043, 2.336279178684313, 2.138700994202918]","[1.611772347777595, 1.8578275706174094, 1.702086775307981, 1.7130022437380632, 1.803535054823808]"
Females,"[2.8154275830485704, 2.7632040911294755, 2.3722589545848662, 2.5289026871577396, 2.4588895319210757]","[2.2082770458260943, 2.4248780180067677, 2.087168650742693, 2.030335959665963, 2.1437505108071035]"
