,Total-Test,Motor-Test
fuzzy_c_means,"[4.0007187852765975, 4.070668777208512, 4.146531126365958, 3.9747240662468104, 4.099313103693619]","[3.0859342498723374, 3.2083991285106377, 3.2336435684425506, 3.1384868269106363, 3.256247925565956]"
som,"[4.275532896576833, 4.124391483281322, 3.893284105947992, 4.279427033040191, 4.450217675829789]","[3.314061935300236, 3.229484937456264, 3.092193737380614, 3.279190331451533, 3.4737515845768305]"
em,"[4.697862910255321, 4.391706812212767, 4.709225989035463, 4.563633463723405, 4.691123011212764]","[3.648181990702127, 3.4850700312765928, 3.6845022660921964, 3.5257196824113466, 3.627687897695033]"
