,Total-Test,Motor-Test
All,"[2.440026436948065, 2.376912081850841, 2.4374035876000235, 2.3878879333617213, 2.390612738393252]","[1.9388660075617155, 1.8900607967325413, 1.9686955823207888, 1.965098877916533, 1.937937359874359]"
Males,"[2.1359999002563486, 2.157694782097533, 2.046270732830647, 2.0617060001023457, 2.0395005825881847]","[1.6348576262754921, 1.5650005925912436, 1.5896866997077905, 1.5432485192331464, 1.6063560710359521]"
Females,"[2.3303545624378974, 2.280532384393954, 2.3448821319783786, 2.3389627839655427, 2.531722371675235]","[1.9414494570978478, 1.9543439875680018, 2.094144329013924, 1.9465724459025147, 2.0173661953159407]"
